web-scraper-order,web-scraper-start-url,Type_habit,Prix,Adresse,Image_lien-src
"1739917822-1028","https://sn.coinafrique.com/categorie/vetements-enfants","Robes enfant","8 000CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_2436367_uploaded_image1_1594691952.jpg"
"1739917822-1029","https://sn.coinafrique.com/categorie/vetements-enfants","Vêtements enfants","4 500CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2436063_uploaded_image1_1594683324.jpg"
"1739917822-1030","https://sn.coinafrique.com/categorie/vetements-enfants","Vêtements enfants","4 500CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2436061_uploaded_image1_1594683292.jpg"
"1739917822-1031","https://sn.coinafrique.com/categorie/vetements-enfants","Vêtements enfants","4 500CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2436060_uploaded_image1_1594683263.jpg"
"1739917822-1032","https://sn.coinafrique.com/categorie/vetements-enfants","Vêtements enfants","4 500CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2436059_uploaded_image1_1594683237.jpg"
"1739917822-1033","https://sn.coinafrique.com/categorie/vetements-enfants","Vêtements  enfants","3 000CFA","Ouakam, Dakar, Sénégal","https://images.coinafrique.com/thumb_2435562_uploaded_image1_1594671660.jpg"
"1739917822-1034","https://sn.coinafrique.com/categorie/vetements-enfants","Robes enfants","2 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2435299_uploaded_image1_1594666625.jpg"
"1739917822-1035","https://sn.coinafrique.com/categorie/vetements-enfants","Robes enfants","2 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2435165_uploaded_image1_1594664501.jpg"
"1739917822-1036","https://sn.coinafrique.com/categorie/vetements-enfants","Caleçon enfant","1 000CFA","Fass, Dakar, Sénégal","https://images.coinafrique.com/thumb_2434001_uploaded_image1_1594646583.jpg"
"1739917822-1037","https://sn.coinafrique.com/categorie/vetements-enfants","Djellaba enfant","10 000CFA","Biscuiterie, Dakar, Sénégal","https://images.coinafrique.com/thumb_2433735_uploaded_image1_1594643576.jpg"
